Customer ID,Gender,Age,Income (USD/Month),Payment_Mode
29290,Male,28,10813,Card
27703,Male,27,9237,Card
28712,Male,53,11242,Cash
28020,Male,23,23327,Cash
27182,Male,33,8536,Card
27318,Male,25,13984,Cash
33788,Male,23,23788,Card
34106,Male,19,19980,Card
59799,Male,33,19271,Cash
57982,Male,57,5068,Cash
58774,Male,20,23602,Cash
58627,Male,28,27338,Card
59007,Male,63,6683,Card
58215,Male,25,6862,Cash
59372,Male,53,4912,Cash
57950,Male,58,16997,Cash
59533,Male,29,17520,Card
58346,Male,27,21650,Cash
58925,Male,38,26550,Card
58551,Male,25,21734,Card
59804,Male,31,4550,Card
57200,Male,23,3268,Card
57931,Male,40,5666,Cash
3077,Male,22,16759,Cash
4734,Male,33,30608,Card
4004,Male,18,3896,Card
5528,Male,34,14974,Card
5785,Male,21,11230,Card
3714,Male,33,4521,Cash
3746,Male,24,2371,Card
4289,Male,19,28719,Card
5777,Male,24,28850,Cash
3571,Male,44,15166,Card
4779,Male,27,6416,Cash
5734,Male,23,22475,Card
3051,Male,30,34757,Card
5915,Male,26,24115,Card
5628,Male,33,15231,Cash
3125,Male,25,9562,Cash
4813,Male,46,24809,Cash
4682,Male,62,6075,Cash
3787,Male,27,33382,Cash
5029,Male,53,3015,Card
3600,Male,20,4277,Cash
4606,Male,27,8633,Card
3546,Male,47,5340,Cash
5707,Male,20,15397,Card
4457,Male,22,18960,Cash
3330,Male,46,5216,Card
5094,Male,43,27243,Card
5284,Male,53,5084,Cash
5741,Male,44,21700,Cash
25949,Male,32,31491,Card
24086,Male,60,19410,Card
25155,Male,27,10997,Card
25247,Male,26,24178,Cash
24530,Male,47,10312,Cash
24144,Male,52,21243,Cash
30718,Male,52,20255,Cash
30769,Male,51,33152,Cash
31634,Male,47,2880,Card
30725,Male,29,4437,Cash
8693,Male,21,15024,Card
8354,Male,48,12229,Cash
8953,Male,38,10973,Cash
7409,Male,18,7182,Cash
8448,Male,62,7002,Card
7598,Male,33,10791,Cash
7475,Male,52,21930,Card
8197,Male,27,18995,Card
8159,Male,40,12634,Card
8543,Male,39,20564,Cash
8702,Male,20,3795,Cash
8661,Male,46,31986,Card
8624,Male,45,24169,Cash
6318,Male,61,28764,Card
8420,Male,30,3193,Cash
7309,Male,23,15247,Card
8091,Male,23,21938,Card
6940,Male,40,2067,Card
8927,Male,19,17197,Card
7002,Male,54,24555,Cash
8555,Male,27,8465,Cash
6214,Male,53,9447,Cash
6068,Male,33,8788,Card
8125,Male,28,17969,Card
7723,Male,58,2948,Cash
8773,Male,37,25735,Card
8488,Male,52,4690,Card
7277,Male,23,20528,Cash
7342,Male,30,31080,Card
8820,Male,20,10416,Card
8069,Male,22,13610,Card
7317,Male,19,16209,Card
6343,Male,42,17207,Card
6941,Male,54,17067,Cash
7974,Male,41,21855,Cash
8294,Male,28,14024,Card
7355,Male,31,6166,Card
7451,Male,19,4391,Cash
7924,Male,26,23137,Cash
6458,Male,20,14682,Cash
6017,Male,35,22130,Card
7615,Male,24,17363,Cash
6236,Male,61,12821,Card
7432,Male,36,31294,Cash
7199,Male,31,20802,Card
7388,Male,37,10894,Card
8745,Male,26,13927,Cash
6437,Male,32,19793,Cash
